Index,Weight
0,20.2986
1,7.4595
2,12.1326
3,0
4,0
5,-1.31946
6,11.0042
7,18.1499
8,-9.28371
9,5.79013
10,-6.41289
11,0.688722
12,-1.25687
13,-10.5821
14,-3.71774
15,0
16,0
17,0.288674
18,-7.22136
19,-3.30551
20,-5.16542
21,7.79922
22,-0.0564067
23,-4.19991
24,0.228029
25,-1.97578
26,-4.80245
27,0
28,0
29,-0.0422616
30,-3.92137
31,-19.9663
32,2.60834
33,-2.43643
34,0.572377
35,0.714018
36,0.055324
37,3.39447
38,1.20443
39,0
40,0
41,-0.00505491
42,2.53331
43,-7.31369
44,-0.196457
45,-1.49535
46,-0.0630638
47,0.237004
48,0.00642926
